Course, From, Skill
DevOps  DataOps  MLOps, Duke University, Big Data  DevOps  Machine Learning
Getting Started with Generative AI API, Codio, Python Programming
Meta Android Developer, Meta, Mobile Development  Computer Programming  React (web framework)  Mobile Development Tools  Application Development  Software Engineering  Android Development  Other Programming Languages  Web Development  User Experience  Algorithms  Computer Science  Front-End Web Development  Javascript  Programming Principles  Cloud API  Collaboration  Communication  Cross Platform Development  Data Management  Data Structures  Databases  Human Computer Interaction  Interactive Design  Linux  Problem Solving  Product Design  SQL  Software Architecture  Software Engineering Tools  Swift Programming  Web Design
Practical Python for AI Coding 1, Korea Advanced Institute of Science and Technology(KAIST), Computer Programming  Python Programming  Programming Principles  Computer Programming Tools
Object-Oriented Programming in Python, Duke University, Computer Programming  Python Programming  Software Engineering
Desarrollador back-end de Meta, Meta, Computer Programming  Data Structures  Python Programming  Programming Principles
用 Python 做商管程式設計（二）(Programming for Business Computing in Python (2)), National Taiwan University, Computer Programming  Data Structures  Python Programming  Programming Principles
Deep Learning with PyTorch : Image Segmentation, Coursera Project Network, Python Programming
Google Cloud Pub/Sub: Qwik Start - Python, Google Cloud, Google Cloud Platform
Introduction to Data Science, IBM, Data Science  Python Programming  Data Analysis  Data Analysis Software  Data Management  R Programming  Business Analysis  Computer Programming  Database Application  Database Theory  Databases  SQL  Data Model  Machine Learning  Statistical Machine Learning  Big Data  Cloud Computing  Data Mining  Deep Learning  IBM Cloud  Regression  Writing
Data Mining, University of Illinois at Urbana-Champaign, Machine Learning  Data Analysis  Data Mining  Machine Learning Algorithms  Natural Language Processing  Probability & Statistics  Data Visualization  Bayesian Statistics  General Statistics  Probability Distribution  Statistical Programming  Algorithms  Data Model  Python Programming  Data Visualization Software
The Power of Statistics, Google, General Statistics  Probability Distribution  Python Programming  Statistical Analysis
用 Python 做商管程式設計（三）(Programming for Business Computing in Python (3)), National Taiwan University, Computer Programming  Python Programming  Game Theory
Advanced Data Science with IBM, IBM, Machine Learning  Python Programming  Statistical Programming  Data Management  Machine Learning Algorithms  Deep Learning  Process Analysis  Data Analysis  Apache  Human Learning  Machine Learning Software  Applied Machine Learning  Extract  Transform  Load  Artificial Neural Networks  Feature Engineering  Application Development  Probability & Statistics  Cloud Computing  Statistical Machine Learning  General Statistics  IBM Cloud  SQL  Statistical Visualization  Computer Programming  Tensorflow
Microsoft Azure Data Engineering Associate (DP-203), Microsoft, Data Management  Microsoft Azure  Extract  Transform  Load  Cloud Computing  Big Data  Data Warehousing  Cloud-Based Integration  Cloud Storage  Data Architecture  Cloud Engineering  Cloud Platforms  Databases  SQL  Data Analysis  Cloud Applications  Data Structures  Distributed Computing Architecture  Cloud Management  Warehouse Management  Leadership and Management  Store Management  Continuous Delivery  Apache  Continuous Integration  Operational Analysis  Data Visualization  Python Programming
Statistics for Data Science with Python, IBM, Data Analysis  General Statistics  Probability & Statistics  Basic Descriptive Statistics  Python Programming  Statistical Analysis  Statistical Tests  Mathematical Theory & Analysis  Statistical Programming  Data Visualization  Probability Distribution
Simulation and modeling of natural processes, University of Geneva, Python Programming
Process Documents with Python Using the Document AI API, Google Cloud, Cloud API  Python Programming
Inferential Statistical Analysis with Python, University of Michigan, General Statistics  Probability & Statistics  Statistical Analysis  Basic Descriptive Statistics  Data Analysis  Statistical Tests  Probability Distribution  Mathematics  Python Programming  Statistical Programming
Applied Calculus with Python, Johns Hopkins University, Mathematics  Algebra  Data Analysis
The Raspberry Pi Platform and Python Programming for the Raspberry Pi, University of California  Irvine, Computer Programming  Python Programming  System Programming  Computer Architecture  Computer Programming Tools  Graphics Software  Internet Of Things  Operating Systems  Programming Principles  Other Programming Languages
Applied Data Science, IBM, Python Programming  Data Analysis  Machine Learning  Algorithms  Computer Programming  Data Science  Data Visualization  Exploratory Data Analysis  General Statistics  Machine Learning Algorithms  Plot (Graphics)  Probability & Statistics  Regression
Bioinformatics, University of California San Diego, Bioinformatics  Algorithms  Computer Programming  Probability & Statistics  Computational Thinking  Computational Logic  Python Programming  Theoretical Computer Science  Critical Thinking  Graph Theory  Problem Solving
Python Data Analysis, Rice University, Computer Programming  Data Analysis  Data Structures  Programming Principles  Python Programming
IBM Business Intelligence (BI) Analyst, SkillUp EdTech, Data Management  Data Visualization  Databases  SQL  Database Administration  Database Application  Database Design  Microsoft Excel  Data Structures  Python Programming  Data Analysis  Data Architecture  Database Theory  Spreadsheet Software  Plot (Graphics)  Data Model  Data Warehousing  General Statistics  Statistical Visualization  Basic Descriptive Statistics  Probability & Statistics  Statistical Analysis  Statistical Tests  Data Analysis Software  NoSQL  PostgreSQL  Business Analysis  Data Visualization Software  Data Mining  Data Science  Interactive Data Visualization  R Programming  Tableau Software  Business Intelligence  Forecasting
Python Object Basics: Functions  Recursion  and Objects, Codio, Computer Programming  Computer Science  Python Programming
Python: de cero a usuario, Universidad Nacional Autónoma de México, Python Programming
Python: Istruzioni per l’uso, Università di Napoli Federico II, Python Programming
Basic Programming in Python I, Northeastern University, Python Programming
Large Language Model Operations (LLMOps), Duke University, Cloud Computing  Data Science  Machine Learning  Python Programming
Programação para todos (Conceitos básicos de Python), University of Michigan, Python Programming
Building Candlestick Charts with Tableau, Coursera Project Network, Data Visualization  Python Programming  Tableau Software
Build a Machine Learning Web App with Streamlit and Python, Coursera Project Network, Machine Learning  Python Programming  Data Science
Functions  Tools and Agents with LangChain, DeepLearning.AI, Python Programming
ETL and Data Pipelines with Shell  Airflow and Kafka, IBM, Data Management  Extract  Transform  Load  Apache  Data Warehousing  Big Data  Database Administration  Distributed Computing Architecture  Software Architecture  System Programming  System Software
TensorFlow: Advanced Techniques, DeepLearning.AI, Deep Learning  Machine Learning  Tensorflow  Artificial Neural Networks  Applied Machine Learning  Python Programming  Machine Learning Algorithms  Human Learning  Computer Vision  Computer Programming  Network Model  Machine Learning Software  Network Architecture  Training  Visualization (Computer Graphics)  Dimensionality Reduction  Strategy
Applied Software Engineering Fundamentals, IBM, Software Engineering  Computer Programming  Python Programming  Software Engineering Tools  Application Development  Programming Principles  Software Architecture  Agile Software Development  Communication  Product Management  Software Testing  Software-Defined Networking  Collaboration  Leadership and Management  Linux  Data Analysis  Mergers & Acquisitions
Go for Python Developers, Codio, Python Programming  Software Engineering
Genomic Data Science, Johns Hopkins University, Bioinformatics  Computer Programming  Data Analysis  Python Programming  Computational Thinking  General Statistics  Exploratory Data Analysis  R Programming  Algorithms  Computer Programming Tools  Data Analysis Software  Biostatistics  Statistical Analysis  Programming Principles  Probability & Statistics  Statistical Tests  Data Structures  Operating Systems  Research and Design  Big Data  Computational Logic  Problem Solving  Statistical Programming  Experiment  Correlation And Dependence
Foundations of Cybersecurity, Google, Linux  Computer Programming  Leadership and Management  Risk Management  SQL
Network Automation Engineering Fundamentals, Cisco Learning and Certifications, Computer Programming  DevOps  Python Programming
Python Data Visualization, Rice University, Computer Programming  Data Visualization  Python Programming  Data Analysis
IBM Data Engineering, IBM, Data Management  Databases  Database Administration  Extract  Transform  Load  Big Data  SQL  Python Programming  Apache  Database Design  Distributed Computing Architecture  Data Architecture  Database Application  NoSQL  Data Structures  Data Model  Data Warehousing  Cloud Computing  Database Theory  Data Engineering  Data Visualization  Computer Programming  IBM Cloud  Data Mining  Machine Learning  Data Analysis  Data Analysis Software  Leadership and Management  Process Analysis  Kubernetes  Software Architecture  System Programming  System Software  PostgreSQL  Business Analysis  Business Intelligence  Data Visualization Software  Linux  Network Security  Statistical Programming  Data Science
Python for Data Science, Fractal Analytics, Data Analysis  Exploratory Data Analysis  Feature Engineering
Create a Python Application using PyMongo and MongoDB Database, Coursera Project Network, Python Programming
Machine Learning: Theory and Hands-on Practice with Python, University of Colorado Boulder, Machine Learning  Statistical Machine Learning  Machine Learning Algorithms  Python Programming  Probability & Statistics  Statistical Programming  Regression  Data Analysis  Applied Machine Learning  Statistical Analysis  Deep Learning  Dimensionality Reduction
Python and Rust with Linux Command Line Tools, Duke University, Python Programming  Software Testing  System Programming
Python Basics: Create a Guessing Number Game from Scratch, Coursera Project Network, Computer Programming  Programming Principles  Python Programming  Computer Science
App Dev: Setting up a Development Environment - Python, Google Cloud, Python Programming
Selenium WebDriver for Beginners: Intro to Python Automation, Coursera Project Network, Python Programming
Python Essentials for MLOps, Duke University, Applied Machine Learning  Computer Programming  Machine Learning  Python Programming
Data Analysis and Visualization Foundations, IBM, Microsoft Excel  Data Visualization  Spreadsheet Software  Data Analysis  Plot (Graphics)  Business Analysis  Data Management  Data Structures  Databases  Python Programming  SQL  Statistical Visualization  Big Data  Data Mining  Data Science  Interactive Data Visualization  NoSQL  Data Visualization Software
Python Scripting Fundamentals, Akamai Technologies  Inc., Machine Learning  Python Programming  Regression  Data Science
Logistic Regression with NumPy and Python, Coursera Project Network, Machine Learning  Python Programming  Regression  Data Science
Detecting COVID-19 with Chest X-Ray using PyTorch, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
GUI programming: Create a Calculator in Python, Coursera Project Network, Python Programming
Data Analysis and Interpretation, Wesleyan University, Computer Programming  Data Analysis  Data Management  General Statistics  Human Learning  Leadership and Management  Machine Learning  Python Programming  Regression
Programación para todos (Introducción a Python), University of Michigan, Computer Programming  Python Programming  Algorithms  Computational Logic  Programming Principles  System Programming
Object-Oriented Programming and GUI with Python, Arizona State University, Computer Programming  Python Programming
Understanding and Applying Text Embeddings, DeepLearning.AI, Natural Language Processing  Python Programming
Programar en Python, Meta, Software Testing  Software Engineering  Python Programming  Computer Programming  Agile Software Development  Programming Principles  Continuous Delivery
Test-Driven Development, LearnQuest, Software Testing  Software Engineering  Python Programming  Computer Programming  Agile Software Development  Programming Principles  Continuous Delivery
Advanced Python - Reconnaissance, Infosec, Python Programming
PostgreSQL for Everybody, University of Michigan, SQL  Databases  Database Design  PostgreSQL  Database Application  Data Management  Database Theory  Data Structures  Python Programming  Data Architecture  NoSQL  Data Model  Natural Language Processing
Gen AI for developers: Web development with Python & Copilot, Coursera Project Network, Python Programming  Web Development
Creating a Supermarket App Using Python, Coursera Project Network, Python Programming  Algorithms
TensorFlow 2 for Deep Learning, Imperial College London, Deep Learning  Machine Learning  Artificial Neural Networks  Applied Machine Learning  Python Programming  Tensorflow  Probability & Statistics  Statistical Analysis  Computer Programming
AWS Cloud Technology Consultant, Amazon Web Services, Amazon Web Services  Cloud API  Cloud Computing  Cloud Infrastructure  Cloud Storage  Continuous Integration  Customer Support  Data Analysis  Data Architecture  DevOps  Information Technology  Leadership and Management  Project Management  Python Programming  Software Architecture  Software Testing  Strategy  Web Development
Data Analysis Using Pyspark, Coursera Project Network, Data Analysis  Python Programming
Python Data Representations, Rice University, Computer Programming  Computer Programming Tools  Problem Solving  Programming Principles  Python Programming  Computational Logic  Computational Thinking  Data Analysis  Data Structures
Работа с базами данных в Python, University of Michigan, 
Create a Python Application using MySQL, Coursera Project Network, Databases  Python Programming  Computer Programming
Support Vector Machines in Python  From Start to Finish, Coursera Project Network, Machine Learning  Python Programming  Data Science
Gen AI for Software Development: Code Generation for Python, Coursera Project Network, Python Programming
Machine Learning: Algorithms in the Real World, Alberta Machine Intelligence Institute, Machine Learning  Human Learning  Applied Machine Learning  Machine Learning Algorithms  Algorithms  Data Analysis  Exploratory Data Analysis  Machine Learning Software  Regression  Python Programming  Computer Programming  Linear Algebra  Statistical Analysis
Использование языка Python для доступа к веб-данным, University of Michigan, Mathematics
Information Systems Foundations, Northeastern University, Python Programming
An Introduction to Interactive Programming in Python (Part 2), Rice University, Computer Programming  Python Programming  Programming Principles  Computational Logic  Mathematics  Computer Graphics  Computer Programming Tools  Problem Solving  Visualization (Computer Graphics)  Critical Thinking
Python for Beginners: Variables and Strings, Coursera Project Network, Computer Programming  Data Analysis  Data Visualization  Python Programming
IBM IT Support, IBM, Cloud Computing  Computer Networking  Cloud Storage  Customer Success  Operating Systems  Leadership and Management  System Security  Strategy and Operations  Cloud Applications  Cloud Infrastructure  Cloud Platforms  Communication  Computer Programming  Cyberattacks  Customer Support  Databases  DevOps  Networking Hardware  Cryptography  IBM Cloud  Information Technology  Network Architecture  Network Security  Security Engineering  Software Engineering
Select Topics in Python: Matplotlib, Codio, Python Programming
Automatiza las tareas de ciberseguridad con Python, Google, Computer Programming  Python Programming
Deploying a Python Flask Web Application to App Engine Flexible, Google Cloud, 
Go Beyond the Numbers: Translate Data into Insights, Google, Data Analysis  Data Visualization  Exploratory Data Analysis  Python Programming  Tableau Software
Robotics, University of Pennsylvania, Mathematics  Computer Vision  Linear Algebra  Problem Solving  Geometry  Algebra  Planning  Computer Graphics  Estimation  Mathematical Theory & Analysis  Computer Programming  Differential Equations  Visualization (Computer Graphics)  Algorithms  Matlab  Software Visualization  Computer Graphic Techniques  Theoretical Computer Science  Graph Theory  Material Handling  Computational Thinking  Geovisualization  Python Programming
AI for Good, DeepLearning.AI, Artificial Neural Networks  Computer Vision  Exploratory Data Analysis  Machine Learning  Natural Language Processing  Python Programming
Computers  Waves  Simulations: A Practical Introduction to Numerical Methods using Python, Ludwig-Maximilians-Universität München (LMU), Differential Equations  Mathematical Theory & Analysis  Mathematics  Computer Programming  Python Programming  Problem Solving  Applied Mathematics  Computational Thinking  Linear Algebra  Scientific Visualization
Fitting Statistical Models to Data with Python, University of Michigan, General Statistics  Probability & Statistics  Regression  Statistical Analysis  Statistical Tests  Correlation And Dependence  Data Analysis  Plot (Graphics)  Statistical Visualization  Data Model  Bayesian Statistics
Accounting Data Analytics, University of Illinois at Urbana-Champaign, Python Programming  Statistical Programming  Data Analysis  Machine Learning  Computer Programming  Data Visualization  Probability & Statistics  Regression  Data Structures  Plot (Graphics)  Accounting  General Statistics  Statistical Analysis  Algorithms  Databases  Machine Learning Algorithms  SQL  Theoretical Computer Science  Data Architecture  Microsoft Excel
The Path to Insights: Data Models and Pipelines, Google, Data Management  Data Model  Extract  Transform  Load
NoSQL  Big Data  and Spark Foundations, IBM, Apache  Big Data  Data Management  Distributed Computing Architecture  Databases  NoSQL  Extract  Transform  Load  SQL  Cloud Computing  Data Model  Machine Learning  Data Architecture  Database Administration  Database Design  IBM Cloud  Kubernetes  Python Programming  Data Warehousing  Process Analysis
Configuring Python Extension Pack with Visual Studio Code, Coursera Project Network, Python Programming  Software Engineering
Data Science Coding Challenge: Loan Default Prediction, Coursera Project Network, Data Analysis  Data Science  Machine Learning  Python Programming
Multiple Linear Regression with scikit-learn, Coursera Project Network, Machine Learning  Python Programming  Regression  Data Visualization
Select Topics in Python: Packaging, Codio, Python Programming
Data Science with NumPy  Sets  and Dictionaries, Duke University, Data Analysis  Python Programming
Meta Marketing Analytics, Meta, Marketing  Digital Marketing  Advertising  Data Analysis  Marketing Management  Media Strategy & Planning  Business Analysis  Statistical Analysis  Probability & Statistics  Market Analysis  Communication  General Statistics  Experiment  Regression  Statistical Tests  Market Research  Basic Descriptive Statistics  Probability Distribution  Brand Management  Forecasting  Research and Design  Data Visualization  Computer Programming  Data Management  Databases  Python Programming  SQL  Statistical Programming  Storytelling  Tableau Software
Github Copilot with Python: Creating Text Games, Coursera Project Network, Python Programming
Django Web Framework, Meta, Application Development  Data Model  Django (Web Framework)  Python Programming  Software Testing  Web Development
Snake game in Python: use Pygame to build your game, Coursera Project Network, Python Programming
Python Basics: Interacting with the Internet, University of California  Davis, Databases  Data Management  Strategy  Communication  Data Structures
Uso de bancos de dados com Python, University of Michigan, Databases  Data Management  Strategy  Communication  Data Structures
Defensive Python, Infosec, Computer Programming
Data Analysis and Visualization with Python, Arizona State University, Computer Programming  Python Programming
Capstone: Retrieving  Processing  and Visualizing Data with Python, University of Michigan, Computer Programming  Data Visualization  Python Programming  Databases
Automating Real-World Tasks with Python, Google, Cloud Computing  Computer Programming  Python Programming
Python Project: pillow  tesseract  and opencv, University of Michigan, Computer Programming  Python Programming
Programación en Python II: aprendiendo a estructurar datos, Pontificia Universidad Católica de Chile, Calculus  Problem Solving  Leadership and Management  Data Analysis  Strategy  Mathematics  Algebra  Computational Logic  Python Programming
Developing Applications in Python on AWS, Amazon Web Services, Cloud API  Python Programming  Software Architecture  Web Development
Advanced Portfolio Construction and Analysis with Python, EDHEC Business School, Computer Programming  Data Analysis  Data Analysis Software  Finance  Investment Management  Python Programming  Statistical Programming
Web Scraping with Python, Duke University, Python Programming
Introduction to Python for Cybersecurity, Infosec, Computer Programming  Python Programming
Data Visualization with ChatGPT: Python for Dashboarding, Coursera Project Network, Data Analysis  Python Programming
Climate Geospatial Analysis on Python with Xarray, Coursera Project Network, Data Analysis  Python Programming
Snowflake for Data Science: Intro to Snowpark ML for Python, Coursera Project Network, Data Science  Machine Learning  Python Programming
Python and Machine-Learning for Asset Management with Alternative Data Sets, EDHEC Business School, Data Analysis  Finance  Machine Learning  Python Programming  Data Management  Data Mining  Financial Analysis  Investment Management  Natural Language Processing  Big Data  Computer Programming
Introduction to Data Science and scikit-learn in Python, LearnQuest, Python Programming  Data Science  Extract  Transform  Load  Machine Learning  Regression
Python and Machine Learning for Asset Management, EDHEC Business School, Applied Machine Learning  Investment Management  Machine Learning  Machine Learning Algorithms  Statistical Machine Learning  Algorithms  Finance  Financial Analysis  Human Learning  Python Programming  Risk Management  Computer Programming  Computer Science
Python Scripting, Duke University, Python Programming
Pandas Python Library for Beginners in Data Science, Coursera Project Network, Computer Programming  Data Analysis  Data Science  Python Programming
Python for Beginners: Data Structures, Coursera Project Network, Python Programming
Analysing Covid-19 Geospatial data with Python, Coursera Project Network, Python Programming
Accounting Data Analytics with Python, University of Illinois at Urbana-Champaign, Python Programming  Statistical Programming  Computer Programming  Data Structures  Data Visualization  Databases  Plot (Graphics)  Probability & Statistics  Regression  SQL  Theoretical Computer Science
Build a Python GUI with Tkinter, Coursera Project Network, Computer Programming  Python Programming
Classification Trees in Python  From Start To Finish, Coursera Project Network, Python Programming
Geospatial Data Visualization using Python and Folium, Coursera Project Network, Data Visualization  Python Programming
Automatiser les tâches de cybersécurité avec Python, Google, Python Programming
COVID19 Data Visualization Using Python, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Scripting with Python and SQL for Data Engineering, Duke University, Data Management  Databases  Python Programming  Computer Programming  Programming Principles  SQL  Data Structures  Computer Programming Tools  Database Application  Extract  Transform  Load
Basic Programming in Python II, Northeastern University, Python Programming
Applied Social Network Analysis in Python, University of Michigan, Graph Theory  Network Analysis  Python Programming  Computer Programming  Data Analysis  Network Model  Computer Networking  Network Architecture  Algorithms  Visualization (Computer Graphics)
Decryption with Python, Coursera Project Network, Cryptography  Python Programming
Analyze Box Office Data with Seaborn and Python, Coursera Project Network, Data Analysis  Data Visualization  Machine Learning  Python Programming  Data Science  Interactive Data Visualization
Create an interactive fiction adventure game with Python, Coursera Project Network, Computer Programming  Python Programming
Python NLTK for Beginners: Customer Satisfaction Analysis, Coursera Project Network, Python Programming
Extract Text Data with Python and Regex, Coursera Project Network, Python Programming
Data Analysis with Python: Inform a Business Decision, Coursera Project Network, Data Analysis  Exploratory Data Analysis  Python Programming
Data Analysis in Python: Using Pandas DataFrames, Coursera Project Network, Python Programming  Data Analysis  Data Visualization
Introduction to Python Functions, University of Colorado Boulder, Python Programming  Computer Programming  Data Science  Software Engineering
Machine Learning for Accounting with Python, University of Illinois at Urbana-Champaign, Machine Learning  Algorithms  Machine Learning Algorithms  Python Programming
Estructuras de datos en Python, Universidad Austral, Computer Programming  Python Programming  Programming Principles  Data Structures  Computer Programming Tools  System Programming  Algorithms  Computational Logic  Computational Thinking  Data Analysis
Aprendiendo Python con textos  números y ecuaciones, Coursera Project Network, Computer Programming  Python Programming
Understand Big O Notation in Python, Duke University, Algorithms  Python Programming  Software Engineering
Aprendiendo Python con álgebra lineal, Coursera Project Network, Python Programming
Where  Why  and How of Lambda Functions in Python, Coursera Project Network, Python Programming  Exploratory Data Analysis
Text Generation with Markov Chains in Python, Coursera Project Network, Python Programming
Working with Amazon DynamoDB using Python & Boto3, Coursera Project Network, NoSQL  Python Programming
Python Development with ChatGPT: Fullstack App Development, Coursera Project Network, Python Programming
Image Denoising Using AutoEncoders in Keras and Python, Coursera Project Network, Deep Learning  Machine Learning  Python Programming  Computer Vision
Logistic Regression with Python and Numpy, Coursera Project Network, Machine Learning  Python Programming  Regression  Deep Learning
Aprendiendo Python con estadística descriptiva, Coursera Project Network, Python Programming
Create a Connect Four Game in Python using Pygame, Coursera Project Network, Python Programming
Reverse and complement nucleic acid sequences (DNA  RNA) using Python, Coursera Project Network, Computer Programming  Python Programming
Support Vector Machine Classification in Python, Coursera Project Network, Machine Learning  Python Programming
Python Decorator Functions, Duke University, Computer Programming  Python Programming
Facebook Network Analysis using Python and Networkx, Coursera Project Network, Python Programming
Traffic Sign Classification Using Deep Learning in Python/Keras, Coursera Project Network, Artificial Neural Networks  Deep Learning  Machine Learning  Computer Vision  Python Programming
GUI Programming: Create a Login System in Python, Coursera Project Network, Python Programming
Create a Tic-Tac-Toe game in Python, Coursera Project Network, Python Programming
Implementing Hangman Game Using Basics of Python 3, Coursera Project Network, Python Programming
Storing  Retrieving  and Processing JSON data with Python, Coursera Project Network, Python Programming
Determine Shortest Paths Between Routers Using Python, Coursera Project Network, Python Programming
Introduction to Machine Learning with Python, Arizona State University, Computer Programming  Python Programming
Selenium WebDriver with Python, Whizlabs, Python Programming
Python Packages for Data Science, University of Colorado Boulder, Python Programming  Data Visualization
DevOps and Build Automation with Python, LearnQuest, Computer Programming  Python Programming  DevOps  Devops Tools
Estructuras de datos de Python, University of Michigan, Leadership and Management  Strategy  Communication  Design and Product  Network Security  Strategy and Operations  Problem Solving  Business Analysis  Python Programming
Use Python and Java to Create a GUI Application, Coursera Project Network, Data Science  Python Programming
High-dimensional Data visualization techniques using python, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Introduction to Python Scripting for DevOps, LearnQuest, Python Programming  Computer Programming  DevOps
Programación Orientada a Objetos con Python, Universidad Austral, Computer Programming  Programming Principles  Python Programming  Software Engineering  System Programming  Computer Programming Tools  Systems Design  Algorithms  Software Testing  Theoretical Computer Science
Programmation pour tous (mise en route de Python), University of Michigan, Python Programming  Computer Programming
AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application, Coursera Project Network, Python Programming
Python for Data Visualization: Matplotlib & Seaborn, Coursera Project Network, Data Visualization  Python Programming
Manejo de bases de datos con Python, Universidad Austral, Databases  SQL  Computer Programming  Python Programming  Database Administration  Database Application  Data Management  Database Theory  Data Structures  Database Design
Processing Data with Python, Coursera Project Network, Python Programming  Computer Programming
Create Ping-Pong Game in Python using Turtle Graphics, Coursera Project Network, Python Programming
Exception Handling in Python, Coursera Project Network, Python Programming
Análisis exploratorio de datos con Python y Pandas, Coursera Project Network, Python Programming  Data Analysis
Python Scripting: Dates  Classes and Collections, LearnQuest, Computer Programming  Programming Principles  Python Programming
Python Scripting: Files  Inheritance  and Databases, LearnQuest, Computer Programming  Python Programming  Programming Principles  Databases
Basic Statistics in Python (Correlations and T-tests), Coursera Project Network, Data Visualization  General Statistics  Python Programming  Statistical Analysis
Data Visualization with Python, Coursera Project Network, Computer Programming  Data Visualization  Python Programming  Data Science
Use Python Regular Expressions to Process File Data, Coursera Project Network, Python Programming
Building Generative AI-Powered Applications with Python, IBM, Python Programming
Automatic Machine Learning with H2O AutoML and Python, Coursera Project Network, Machine Learning  Python Programming
Uso de Python para Acceder a Datos Web, University of Michigan, Databases  Communication  Database Administration  Strategy  Business Analysis  Data Management  Database Application  Leadership and Management  Market Analysis  Strategy and Operations  Python Programming
Select Topics in Python: Django, Codio, Django (Web Framework)  Python Programming
Version Control of a Python Project using Git, Coursera Project Network, Python Programming
Merge  Sort and Filter Data in Python Pandas, Coursera Project Network, Mergers & Acquisitions  Python Programming  Data Science
Create Python Linux Script to Generate a Disk Usage Report, Coursera Project Network, Computer Programming  Python Programming
Select Topics in Python: Natural Language Processing, Codio, Natural Language Processing  Python Programming
Plots Creation using Matplotlib Python, Coursera Project Network, Data Visualization  Python Programming  Data Analysis
Dice Game in Python, Coursera Project Network, Computer Programming  Python Programming  Computer Science  Software Engineering
Hypothesis Testing with Python and Excel, Tufts University, Microsoft Excel  Python Programming
Analyze Box Office Data with Plotly and Python, Coursera Project Network, Data Analysis  Data Visualization  Python Programming  Data Science  Machine Learning
Deploying a Python Data Analytics web app on Heroku, Coursera Project Network, Data Analysis  Python Programming
Nettoyer vos données avec Python, Coursera Project Network, Python Programming
Big-O Time Complexity in Python Code, Coursera Project Network, Python Programming  Data Science
Create a Memory Puzzle Game in Python Using Pygame, Coursera Project Network, Python Programming
Use Python Unit Test to Demonstrate TDD, Coursera Project Network, Python Programming
Automatically Deploy Python Web Apps from Version Control to Cloud Run, Google Cloud, Cloud Computing  Python Programming
Sentimental Analysis on COVID-19 Tweets using python, Coursera Project Network, Computer Programming  Python Programming
Crea tu primer juego de adivinanza con Python, Coursera Project Network, Computer Programming  Python Programming
Wrangling Data for Data Analysts with Python, Coursera Project Network, Data Analysis  Python Programming
Python Generators, Duke University, Python Programming  Software Engineering
Clustering Geolocation Data Intelligently in Python, Coursera Project Network, Data Analysis  Machine Learning  Python Programming
Using SAS Viya REST APIs with Python and R, SAS, Data Analysis  Python Programming
Python Dynamic HTML Web Server, Coursera Project Network, Python Programming
Create a Dynamic-Link Library with DevC++ for Python, Coursera Project Network, Python Programming
Create a Boggle Word Solver using recursion in Python, Coursera Project Network, Computer Programming  Python Programming
Tirer Parti des Listes Pour un Code Python Plus Simple, Coursera Project Network, Python Programming
Análisis Exploratorio de Datos con Python, Coursera Project Network, Data Visualization  Python Programming
Creating a Wordcloud using NLP and TF-IDF in Python, Coursera Project Network, Python Programming
Test Driven Development Process For Beginners In Python, Coursera Project Network, Python Programming  Software Engineering
Les Expressions Régulières en Python, Coursera Project Network, Python Programming
Crime Zone Heatmaps with Python and Folium, Coursera Project Network, Data Science  Data Visualization  Python Programming
Introduction to Search Techniques in Python: Binary Search, Coursera Project Network, Python Programming
Personal Desktop Notifier in Python: Covid-19 notifications, Coursera Project Network, Python Programming
Use Python for Non-Data Role, Coursera Project Network, Python Programming
Where  Why  and How of List Comprehension in Python, Coursera Project Network, Data Mining  Python Programming
Hierarchical relational data analysis using python, Coursera Project Network, Python Programming
Regresión lineal simple y múltiple en Python, Coursera Project Network, Python Programming
Regresión logística con NumPy y Python, Coursera Project Network, Data Science  Machine Learning  Python Programming
Construire une calculatrice graphique avec Python, Coursera Project Network, Mathematics  Computer Programming  Computer Science  Python Programming  Software Engineering
Setup Python, Duke University, Python Programming
Cifrado con Python: Cifrar Datos con Pares de Claves, Coursera Project Network, Python Programming
Message Encoding/Decoding in Python with GUI, Coursera Project Network, Python Programming
Procesamiento del lenguaje natural con Python y Power BI, Coursera Project Network, Power BI  Python Programming
Creating a Word Jumble Game in Python Using Tkinter GUI, Coursera Project Network, Python Programming
أساسيات python: برمج لعبة تخمين الرقم من الصفر, Coursera Project Network, Programming Principles  Computer Science  Python Programming
Création de chaînes en Python, Coursera Project Network, Computer Programming  Data Science  Python Programming
Cómo usar funciones  métodos y bucles en Python desde cero, Coursera Project Network, Python Programming
Installation et configuration de Python et des extensions associées avec Visual Studio Code, Coursera Project Network, Computer Programming  Software Engineering  Python Programming  Theoretical Computer Science
Cómo importar datos y crear visualizaciones en Python, Coursera Project Network, Data Analysis  Data Visualization  Python Programming
Configuración de APIs en Python: Crea un API REST, Coursera Project Network, Python Programming
Creating a Color Game in Python Using Tkinter GUI, Coursera Project Network, Python Programming
Utilisation des méthodes de Deep Learning avec Python pour la prédiction boursière., Coursera Project Network, Python Programming
ETL con Python: Creando pipeline básico, Coursera Project Network, Python Programming  SQL
Python معالجة مسبقة للبيانات و تحليلها بواسطة, Coursera Project Network, Big Data  Data Analysis  Python Programming
Affectation de variable en Python, Coursera Project Network, Computer Programming  Data Science  Python Programming
